Especie	Abundancia Media
Bacteroides uniformis	1.976780057
Bacteroides ovatus	0.760439008
Bacteroides vulgatus	1.172700047
Blautia obeum	0.329806
[Eubacterium] rectale	0.095564052
Bacteroides thetaiotaomicron	0.371629491
Parabacteroides distasonis	0.276730001
Bacteroides dorei	0.154337004
Bacteroides caccae	0.395388007
Alistipes putredinis	1.039620042
Bifidobacterium longum	0.134828001
[Eubacterium] eligens	0.421696007
Bacteroides xylanisolvens	0.090632349
Streptococcus salivarius	0.086510502
Alistipes onderdonkii	0.180800006
Roseburia hominis	0.190148003
[Eubacterium] hallii	0.121267997
Parabacteroides merdae	0.327418
Alistipes shahii	0.238680005
Bacteroides fragilis	0.115330003
Ruminococcus bromii	0.498560011
Coprococcus comes	0.180749997
Dorea formicigenerans	0.105005004
[Ruminococcus] torques	0.141450003
Bacteroides stercoris	0.175267503
Roseburia intestinalis	0.074579999
[Clostridium] leptum	0.109624997
Bifidobacterium adolescentis	0.119235501
Alistipes finegoldii	0.074899897
Bacteroides cellulosilyticus	0.067633301
Veillonella parvula	0.0372518
Streptococcus thermophilus	0.040825401
[Ruminococcus] gnavus	0.035355
Escherichia coli	0.074007999
[Clostridium] bolteae	0.043077851
Collinsella aerofaciens	0.175454997
Haemophilus parainfluenzae	0.0463822
Odoribacter splanchnicus	0.228910998
Akkermansia muciniphila	0.200790003
Bacteroides massiliensis	0.217863001
Prevotella copri	0.124311998
Streptococcus mitis	0.023382301
Dialister invisus	0.317375496
Eubacterium ventriosum	0.081106499
Bacteroides intestinalis	0.036400001
Intestinibacter bartlettii	0.057087202
[Clostridium] symbiosum	0.049059998
Bifidobacterium pseudocatenulatum	0.159665503
[Eubacterium] siraeum	0.125671998
Parasutterella excrementihominis	0.075706698
Eubacterium ramulus	0.054930001
Anaerotruncus colihominis	0.079865202
Faecalibacterium prausnitzii	2.36125505
Veillonella dispar	0.021345699
Streptococcus oralis	0.0214627
Ruminococcus callidus	0.1010595
[Clostridium] indolis	0.142029002
Ruminococcus lactaris	0.030457599
Clostridium tertium	0.05317005
Bacteroides eggerthii	0.0217786
Bacteroides coprocola	0.057914551
Bilophila wadsworthia	0.034430001
[Clostridium] saccharolyticum	0.062959697
Oscillibacter valericigenes	0.371231988
Bifidobacterium breve	0.073212802
Hungateiclostridium thermocellum	0.1083
Dorea longicatena	0.066395
Agathobaculum desmolans	0.089478001
Holdemania filiformis	0.01601
Sporobacter termitidis	0.05382785
Bacteroides nordii	0.01679555
Blautia glucerasea	0.113513499
[Clostridium] methylpentosum	0.054068699
[Clostridium] spiroforme	0.091150448
Blautia coccoides	0.0267433
Barnesiella viscericola	0.069673151
Eggerthella lenta	0.01377835
Bifidobacterium gallicum	0.0240144
Bifidobacterium scardovii	0.037851749
Anaerotignum neopropionicum	0.03260085
Bifidobacterium catenulatum	0.049244199
Ruminococcus albus	0.029289201
Anaerotignum propionicum	0.02556285
Alistipes timonensis	0.0296494
Coprococcus eutactus	0.036052801
Clostridium perfringens	0.01020215
Streptococcus vestibularis	0.0198834
Hungateiclostridium clariflavum	0.02824905
Roseburia inulinivorans	0.241471
Ruminococcus champanellensis	0.0200746
Bifidobacterium choerinum	0.0240019
Parabacteroides johnsonii	0.0459348
Paraprevotella clara	0.101119
Ruminococcus flavefaciens	0.01558925
Bifidobacterium bifidum	0.0266074
Veillonella atypica	0.0126269
Christensenella minuta	0.0275122
Clostridium paraputrificum	0.015974
[Clostridium] saccharogumia	0.02354065
Acidaminococcus intestini	0.052009299
Bacteroides plebeius	0.01755915
Bifidobacterium animalis	0.0125368
Parabacteroides goldsteinii	0.0104686
Alistipes indistinctus	0.056162599
Clostridium saccharoperbutylacetonicum	0.0136138
Bifidobacterium dentium	0.01816
Bifidobacterium pseudolongum	0.0170608
Bifidobacterium biavatii	0.0222091
Holdemanella biformis	0.120917503
Faecalibacterium sp. MC_41	6.17347002
Clostridium beijerinckii	0.011971
Bacteroides luti	0.075860098
[Eubacterium] sulci	0.0102952
Anaerostipes caccae	0.0129467
Bifidobacterium indicum	0.0171238
[Clostridium] xylanolyticum	0.01768775
Anaerostipes butyraticus	0.0114123
Blautia producta	0.075608399
Anaerofilum pentosovorans	0.0139105
Erysipelatoclostridium ramosum	0.0129809
[Clostridium] sphenoides	0.0237687
[Clostridium] colinum	0.011328
Bacteroides finegoldii	0.028326901
Bacteroides salyersiae	0.01097525
Desulfovibrio desulfuricans	0.01047545
Bifidobacterium saguini	0.056359701
Eubacterium xylanophilum	0.024489401
Enterococcus faecium	0.0120011
Clostridium butyricum	0.01719305
Sutterella parvirubra	0.02363515
Bacillus gaemokensis	0.0131224
Bacteroides fluxus	0.0285533
Clostridium septicum	0.0162766
Methanobrevibacter smithii	0.112111501
Mitsuokella multacida	0.0101483
Clostridium sartagoforme	0.018191701
Eggerthella sp. YY7918	0.015917899
[Clostridium] innocuum	0.01115605
Adlercreutzia equolifaciens	0.011865
Desulfovibrio piger	0.036890302
Lachnospiraceae bacterium 7_1_58FAA	0.043760002
