Especie	ERR475482	ERR47553	ERR378968	ERR479011	ERR479024	ERR479029	ERR479037	ERR479065	ERR479146
[Bacteroides] pectinophilus	0	0	0	1.60663	0	0	0.04878	0	0.88252
[Clostridium] asparagiforme	0	0	0	0.0355	0	0	0	0	0
[Clostridium] bolteae	0.0277363	0.0149514	0	0.19559	0	0.0033	0.05869	0	3.31443
[Clostridium] celerecrescens	0.00132078	0.00373785	0	0	0	0	0	0	0
[Clostridium] cellobioparum	0	0.000934462	0	0	0	0	0	0	0
[Clostridium] cellulolyticum	0	0.000934462	0	0	0	0	0	0	0
[Clostridium] citroniae	0	0.000467231	0	0	0	0	0.07947	0	0.43017
[Clostridium] clariflavum	0.00792466	0.00841015	0	0	0	0	0	0	0
[Clostridium] clostridioforme	0	0	0	0	0	0	0.31702	0	0.25763
[Clostridium] cocleatum	0.00132078	0.00327062	0	0	0	0	0	0	0
[Clostridium] colinum	0.125474	0.000934462	0	0	0	0	0	0	0
[Clostridium] hiranonis	0	0.00140169	0	0	0	0	0	0	0
[Clostridium] hylemonae	0	0.000467231	0	0	0	0	0	0	0
[Clostridium] indolis	0.154531	0.25651	0	0	0	0	0	0	0
[Clostridium] innocuum	0.00924544	0.00747569	0	0	0	0	0.00101	0	0
[Clostridium] leptum	0.401516	0.117742	0	0.00568	0	0.01425	0	0.00128	0.12144
[Clostridium] methylpentosum	0.059435	0.0471903	0	0	0	0	0	0	0
[Clostridium] neopropionicum	0.0449064	0.00841015	0	0	0	0	0	0	0
[Clostridium] papyrosolvens	0.00132078	0.000467231	0	0	0	0	0	0	0
[Clostridium] paradoxum	0.00264155	0	0	0	0	0	0	0	0
[Clostridium] populeti	0.00132078	0.000467231	0	0	0	0	0	0	0
[Clostridium] propionicum	0.0660389	0.0140169	0	0	0	0	0	0	0
[Clostridium] purinilyticum	0.00264155	0	0	0	0	0	0	0	0
[Clostridium] saccharogumia	0.355289	1.39141	0	0	0	0	0	0	0
[Clostridium] saccharolyticum	0.0633973	0.0397146	0	0	0	0	0	0	0
[Clostridium] scindens	0.0224532	0.00794292	0	0.00826	0	0	0	0	0.02133
[Clostridium] scindens	0	0	0	0	0	0	0	0	0
[Clostridium] sphenoides	0.108304	0.0214926	0	0	0	0	0	0	0
[Clostridium] spiroforme	0.328874	1.53906	0	0	0	0	0	0	0
[Clostridium] stercorarium	0	0.174744	0	0	0	0	0	0	0
[Clostridium] sticklandii	0.00132078	0	0	0	0	0	0	0	0
