Nombre científico	Abundancia Media
Bacteroides uniformis	4.561315829
Bacteroides ovatus	2.559423098
Bacteroides vulgatus	4.18426891
Blautia obeum	0.772912216
[Eubacterium] rectale	1.953008036
Bacteroides thetaiotaomicron	1.115054304
Parabacteroides distasonis	1.126462159
Bacteroides dorei	1.94130908
Bacteroides caccae	1.3806046
Alistipes putredinis	2.629104862
Bifidobacterium longum	1.233612933
[Eubacterium] eligens	1.267725632
Bacteroides xylanisolvens	0.485100364
Streptococcus salivarius	0.600038833
Alistipes onderdonkii	0.883053561
Roseburia hominis	0.56597862
[Eubacterium] hallii	0.523633109
Parabacteroides merdae	1.469197357
Alistipes shahii	0.619377949
Bacteroides fragilis	1.739500607
Ruminococcus bromii	2.142777609
Coprococcus comes	0.440298622
Dorea formicigenerans	0.246582765
[Ruminococcus] torques	0.643056683
Bacteroides stercoris	2.33165634
Roseburia intestinalis	0.636298029
[Clostridium] leptum	0.317487473
Bifidobacterium adolescentis	1.331031242
Alistipes finegoldii	0.353058815
Bacteroides cellulosilyticus	0.966292944
Veillonella parvula	0.606237984
Streptococcus thermophilus	0.344144567
[Ruminococcus] gnavus	0.740159651
Escherichia coli	2.224740666
[Clostridium] bolteae	0.263221938
Collinsella aerofaciens	0.850596386
Haemophilus parainfluenzae	0.493307202
Odoribacter splanchnicus	0.482166438
Akkermansia muciniphila	2.586909059
Bacteroides massiliensis	1.655287264
Prevotella copri	8.355234621
Streptococcus mitis	0.201148649
Dialister invisus	2.099588004
Eubacterium ventriosum	0.235223248
Bacteroides intestinalis	0.402000421
Intestinibacter bartlettii	0.284970316
[Clostridium] symbiosum	0.191299981
Bifidobacterium pseudocatenulatum	1.526482546
[Eubacterium] siraeum	0.911613507
Parasutterella excrementihominis	0.485607264
Eubacterium ramulus	0.157073531
Anaerotruncus colihominis	0.271332551
Faecalibacterium prausnitzii	3.990821101
Veillonella dispar	0.349847629
Streptococcus oralis	0.254308325
Ruminococcus callidus	0.354723373
[Clostridium] indolis	0.420235087
Ruminococcus lactaris	0.315160181
Clostridium tertium	0.513929675
Bacteroides eggerthii	1.538306229
Bacteroides coprocola	2.806417845
Bilophila wadsworthia	0.152295714
[Clostridium] saccharolyticum	0.187279681
Oscillibacter valericigenes	0.897201349
Bifidobacterium breve	1.607981997
Hungateiclostridium thermocellum	0.34909193
Dorea longicatena	0.453259254
Agathobaculum desmolans	0.237016308
Holdemania filiformis	0.039973345
Sporobacter termitidis	0.245242412
Bacteroides nordii	0.086415533
Blautia glucerasea	0.561422078
[Clostridium] methylpentosum	0.338835619
[Clostridium] spiroforme	0.309470423
Blautia coccoides	0.084576469
Barnesiella viscericola	0.871084366
Eggerthella lenta	0.065029186
Bifidobacterium gallicum	0.42952117
Bifidobacterium scardovii	1.887644668
Anaerotignum neopropionicum	0.086263159
Bifidobacterium catenulatum	1.547755205
Ruminococcus albus	0.281531677
Anaerotignum propionicum	0.075661416
Alistipes timonensis	0.158220464
Coprococcus eutactus	0.485101388
Clostridium perfringens	1.220570298
Streptococcus vestibularis	0.276804702
Hungateiclostridium clariflavum	0.095473738
Roseburia inulinivorans	0.793939673
Ruminococcus champanellensis	0.243320468
Bifidobacterium choerinum	0.307529866
Parabacteroides johnsonii	0.636913849
Paraprevotella clara	0.637729717
Ruminococcus flavefaciens	0.136579898
Bifidobacterium bifidum	0.988524919
Veillonella atypica	0.122371853
Christensenella minuta	0.188816804
Clostridium paraputrificum	0.466472148
[Clostridium] saccharogumia	0.170466696
