scientific_name	relative_abundance1	relative_abundance2	relative_abundance3	relative_abundance4	relative_abundance5	relative_abundance6	relative_abundance7	relative_abundance8	relative_abundance9	relative_abundance10
Bacteroides stercoris	23.1363	9.62876	0	7.64009	2.37048	29.9598	20.2026	22.8967	0.0729992	0
Bacteroides ovatus	22.0941	6.38893	0.00457289	5.30061	9.11568	20.3955	32.4584	35.6677	0.429147	0
Escherichia coli	11.0263	47.2773	0.0503018	4.82224	1.2898	6.79265	13.6503	12.3546	0.00663629	0
[Eubacterium] rectale	10.0618	3.51391	0	0.0321741	0	0	0	0	0	0
Bacteroides thetaiotaomicron	9.80642	8.0864	0.00914578	6.73604	1.68157	3.24889	11.5919	11.6531	2.33597	
[Ruminococcus] gnavus	6.18661	1.7163	0	44.1243	20.7637	16.0025	1.60118	0.87805	0	0
Haemophilus parainfluenzae	3.33529	1.98562	0	0.48008	1.02389	0.0225	0.21053	0	0.00442419	0
Roseburia inulinivorans	1.60557	1.74179	0	0.16938	0.0416371	0.14297	0	0	0	0
Tyzzerella nexilis	1.07369	3.85003	0	3.14977	0	5.3	0.79324	0.30655	0	0
Turicibacter sanguinis	1.05321	0.02209	0	0	0	0	1.36685	0.4019	0	
Clostridium butyricum	1.01487	0.5764	0	0	0.00946298	0	2.78093	1.33495	0.130514	
Lachnospiraceae bacterium 5_1_63FAA	0.68043	0	0	0.16093	0	0.03554	0	0	0	0
Intestinibacter bartlettii	0.5536	0.07013	0	0.00309	0.0132482	0.32251	0	0	0.0287572	0
Anaerostipes hadrus	0.40993	0	0	0.06816	0	0.01475	0	0	0	0
Lachnospiraceae bacterium 9_1_43BFAA	0.15403	1.08117	0	0.20677	0	0.30887	0.02245	0	0	0
[Clostridium] symbiosum	0.06031	0	0	0.00717	0.000946298	0.07495	0.1018	0	0.940141	0
Erysipelotrichaceae bacterium 3_1_53	0.05276	0.00715	0	0	0	0	0	0	0	0
Streptococcus mitis	0.04086	0	0	0.03442	0.0738112	0.00478	0.02015	0	0.513206	0
[Clostridium] clostridioforme	0.01814	0	0	0.0048	0	0.03031	0	0	0.0022121	0
Lachnospiraceae bacterium 6_1_63FAA	0.0178	0.01757	0	0.00247	0	0	0	0	0	0
Unknown	7.61891	0	0	0	0	0	0	0	0	0
Erysipelothrix rhusiopathiae	0	0	0	0	0	0	0	0	0	0.0000546829
Streptococcus parasanguinis	0	0.00837	0	0.08895	0	0	0.05475	0	0	0
Rhodococcus kroppenstedtii	0	0	0	0	0	0	0	0	0	0.0000546829
Prevotella oris	0	0.01366	29.5729	0.07651	0.174119	0.35689	0	0	0.0022121	0.0175532
Sporobacter termitidis	0	0	0	0	0	0	0	0	0	0.000273415
[Clostridium] bolteae	0	0.01497	0	0.01035	0.00378519	0	0	0	0.0995443	0
Brenneria goodwinii	0	0	0	0	0	0	0	0	0	0.0000546829
[Ruminococcus] torques	0	0.28452	0	0.48882	0.000946298	0.16824	0.02562	0	0	0
Roseburia faecis	0	0	0	0	0.00378519	0	0	0	0	0.522878
Veillonella parvula	0	0.02153	0	0.01719	29466	141.945	0.11864	0.00655	0	0.497722
Streptococcus salivarius	0	0.01979	0	0.0469	0.723918	0	0	0	575.145	
Bacillus pumilus	0	0	0	0	0	0	0	0	0	0.000765561
Clostridium sp. 7_2_43FAA	0	6.0741	0	0	0	0	0	0	0	0
Streptococcus thermophilus	0	3.91036	0	0.63082	0.29421	0	0	0	0.00663629	0
Clostridium perfringens	0	1.5532	0	1.20276	1.06742	1.63025	0	0	1.47547	0
Haemophilus haemolyticus	0	0.06934	0	0	0	0	0	0	0.0110605	0
Haemophilus influenzae	0	0.06934	0	0	0	0	0	0	0	0
Fusobacterium periodonticum	0	0.02509	0	0	0.000946298	0	0.06544	0	0.0110605	0
Lachnospiraceae bacterium 2_1_58FAA	0	0.01305	0	0	0	0.01243	0	0	0	0
Unknown1	0	1.57581	0	0	0	0	0	0	0	0
Prevotella fusca	0	0	0.292665	0	0	0	0	0	0	0
Sutterella parvirubra	0	0	0.0228645	0	0	0	0	0	0.0176968	0
Pseudomonas thivervalensis	0	0	0.00457289	0	0	0	0	0	0.0176968	0
Prevotella denticola	0	0	0.00457289	0	0.000946298	0	0	0	0	0
Pseudomonas chlororaphis	0	0	0.00457289	0	0	0	0	0	0	0
Campylobacter curvus	0	0	0.0137187	0	0	0	0	0	0	0
Bacteroides vulgatus	0	0	0.20578	0	0.0113556	0	0	0	53.5659	0
Peptostreptococcus anaerobius	0	0	0.0914578	0	0	0	0	0	0.0862717	0
Sutterella sanguinus	0	0	0.114322	0	0.000946298	0	0	0	0.106181	0
Ralstonia pickettii	0	0	0.0320102	0	0	0	0	0	0.0353935	0
Prevotella enoeca	0	0	0.384123	0	0	0	0	0	0.0906959	0
Flavobacterium sp. YIM 97465	0	0	0.00457289	0	0	0	0	0	0	0
Prevotella copri	0	0	0.685934	0	0	0	0	0	0.13715	0
