scientific_name	ERR1073394	ERR1090415	ERR2056873	ERR2092345	ERR2239313	ERR2239357	ERR2239366	ERR2239391	ERR2239394	ERR2242500
[Clostridium] aldenense	0.00510386	0	0	0.00313175	0	0	0	0	0	0
[Clostridium] asparagiforme	0	0	0	0	0	0	0	0	0	0.01137
[Clostridium] bolteae	0.0510386	0.0749773	0.038501	0.0438445	0	0	0	0	0	0
[Clostridium] celerecrescens	0.0076558	0.00394617	0	0.00939526	0	0	0	0	0	0
[Clostridium] clariflavum	0	0	0.00641684	0.00313175	0	0	0	0	0	0
[Clostridium] cocleatum	0.00255193	0	0.00320842	0	0	0	0	0	0	0
[Clostridium] colinum	0.00255193	0	0	0	0	0	0	0	0	0
[Clostridium] fimetarium	0	0.00394617	0	0	0	0	0	0	0	0
[Clostridium] indolis	0.29092	0.284125	0.26309	0.601297	0	0	0	0	0	0
[Clostridium] innocuum	0.00510386	0.00394617	0	0	0	0	0	0	0	0
[Clostridium] leptum	0.0893176	0.00789235	0.0320842	0.0688986	0	0	0	0	0	0
[Clostridium] methylpentosum	0.0255193	0	0	0	0	0	0	0	0	0
[Clostridium] neopropionicum	0.0127597	0.00789235	0	0.0970843	0	0	0	0	0	0
[Clostridium] oroticum	0	0.0789235	0	0	0	0	0	0	0	0
[Clostridium] populeti	0	0	0.00320842	0	0	0	0	0	0	0
[Clostridium] propionicum	0.181187	0.023677	0.272716	0.0876891	0	0	0	0	0	0
[Clostridium] saccharogumia	0.0076558	0	0.0320842	0.00939526	0	0	0	0	0	0
[Clostridium] saccharolyticum	0.0331751	0.785289	0.157213	0.0939526	0	0	0	0	0	0
[Clostridium] scindens	0.0484867	0	0	0	0	0	0	0	0	0
[Clostridium] sphenoides	0.0510386	0	0.00962526	0.0187905	0	0	0	0	0	0
[Clostridium] spiroforme	0.135252	0.528787	0.442762	0.187905	0	0	0	0	0	0
[Clostridium] symbiosum	0.076558	0.0749773	0.0192505	0.10648	0	0	0	0	0	0
[Clostridium] thermosuccinogenes	0.00510386	0	0.00320842	0.0187905	0	0	0	0	0	0
