scientific_name	relative_abundance1	relative_abundance2	relative_abundance3	relative_abundance4	relative_abundance5	relative_abundance6	relative_abundance7	relative_abundance8	relative_abundance9	relative_abundance10
[Clostridium] aldenense	0.00488067	0	0.00335807	0.00433388	0.0261602	0.106028	0.0217524	0	0	0.00167177
[Clostridium] bolteae	0.0195227	0.0401571	0.0436549	0.0346711	0.481348	1.07846	0.0174019	0	0	0.0451377
[Clostridium] celerecrescens	0.00976134	0.0044619	0.00671614	0	0.0104641	0.0363526	0	0	0	0.00334353
[Clostridium] cellobioparum	0	0.0044619	0	0	0	0.00605877	0	0.00372439	0	0
[Clostridium] clariflavum	0	0.0401571	0.00671614	0.00433388	0.0104641	0.0454408	0	0.0521415	0	1.80384
[Clostridium] colinum	0	0.16509	0.00671614	0	0.0156961	0.00302939	0	0.0595903	0	0
[Clostridium] hylemonae	0	0.0044619	0.00671614	0	0	0	0	0	0	1.53134
[Clostridium] indolis	0.302601	0.227557	1.51785	1.72489	1.11442	0.369585	0.217524	0.108007	0.0648314	0.183894
[Clostridium] innocuum	0	0	0	0	0.449956	0.0848228	0	0	0	0
[Clostridium] leptum	0.0536873	0.129395	0.0369388	0.0173355	2.79391	2.16298	1.12677	0.0819367	0.00997407	0.379491
[Clostridium] methylpentosum	0.0244033	0.0356952	0	0.0130016	0.00523204	0.0302939	0.00435047	0	0	0.658676
[Clostridium] neopropionicum	0	0.0535427	0.0100742	0	0.0732486	0.0363526	0.00870095	0.0633147	0.00498703	0.0183894
[Clostridium] oroticum	0	0	0.0100742	0	0.575525	0	0	0	0	0.00334353
[Clostridium] paradoxum	0	0	0	0.00433388	0.00523204	0	0	0	0	0
[Clostridium] propionicum	0.014642	0.151704	0.0503711	0.00433388	0.0523204	0.572554	0.0565562	0.0111732	0.0299222	0.0250765
[Clostridium] saccharogumia	0.00488067	0.0044619	0	0.00433388	0.0104641	0	0.00870095	0	0	0
[Clostridium] saccharolyticum	0.058568	0.0580046	0.0570872	0.125683	0.125569	0.154499	0.100061	0.126629	0.0199481	0.208971
[Clostridium] scindens	0	0	0.00671614	0	0.0523204	0.224174	0	0	0	0.0100306
[Clostridium] sphenoides	0.029284	0.0044619	0.00335807	0.00866776	0.0627845	0.451378	0.0174019	0.00744879	0	0.021733
[Clostridium] spiroforme	0.07321	0.0356952	0.0402969	0.00866776	0.0104641	0	0.0870095	0.0409683	0.0299222	0
[Clostridium] stercorarium	0	0	0	0.0130016	0.0156961	0	0.00435047	0	0	0.0117024
[Clostridium] symbiosum	0.283079	0.16509	0.167904	0.073676	0.0366243	0.324144	0.0696076	0.126629	0.00997407	0.130398
[Clostridium] thermosuccinogenes	0	0.0044619	0	0	3.76184	0	0	0.0111732	0.00997407	0.269154
[Clostridium] xylanolyticum	0.00488067	0	0.120891	0.125683	0.00523204	0.00908815	0.0217524	0.86406	0.00498703	0.0133741
[Eubacterium] brachy	0	0	0.00335807	0	0.0104641	0	0.0435047	0	0	0.0167177
[Eubacterium] contortum	0	0	0.00335807	0	0.214514	0.00605877	0	0.00372439	0	0.00835883
[Eubacterium] eligens	0.419737	0.910227	1.29286	1.63387	0.00523204	0	0.374141	0.819367	0.0299222	0.441346
[Eubacterium] fissicatena	0	0	0	0	0.397635	0.00302939	0.00435047	0.00372439	0	0
[Eubacterium] hallii	0.00488067	0.0178476	0.0134323	0.0130016	0.104641	0	0.00870095	0.00372439	0	1.18361
[Eubacterium] rectale	0.0341647	0.0624665	0.047013	0.0173355	4.70884	0.00302939	0.0217524	0.00744879	0	0.0133741
[Eubacterium] siraeum	0	0.0133857	0.100742	0.0173355	0	0	0	0.33892	0	3.17635
[Mannheimia] succiniciproducens	0	0	0.00335807	0	0	0	0	0	0	0
[Ruminococcus] gnavus	0.014642	0.0178476	0.0134323	0.0173355	0.00523204	0.463496	0.00435047	0.00372439	0.00498703	0.0351071
[Ruminococcus] torques	0.0390453	0.0044619	0	0.00866776	0.00523204	0.151469	0.00870095	0.0260708	0	0.0167177
Acholeplasma axanthum	0	0	0.00335807	0	0	0	0	0	0	0.0250765
Acholeplasma brassicae	0	0.0044619	0	0	0	0	0	0	0	0
Acidaminococcus fermentans	0.00488067	0	0.00335807	0.00433388	0	0	0	0	0	0
Acidaminococcus intestini	0.561277	0.0178476	0.614527	0.195025	0.0470884	0	0.361089	0	0.00498703	0.324323
Acinetobacter johnsonii	0	0	0	0.00433388	0	0	0	0	0	0
Actinobacillus delphinicola	0	0	0.0100742	0	0	0	0	0	0	0
Actinobacillus porcinus	0	0	0.00335807	0	0	0	0	0	0	0
Actinobacillus succinogenes	0	0	0.00335807	0	0	0	0	0	0	0
Actinomyces gerencseriae	0	0.0044619	0	0	0	0	0	0	0	0.0100306
Actinomyces lingnae	0.00488067	0	0	0	1.77366	0.00302939	0	0	0	0
Actinomyces meyeri	0	0	0.00335807	0.00433388	0	0.00908815	0	0	0	0
Actinomyces neuii	0	0	0.00335807	0	0	0.00302939	0	0	0	0
Actinomyces odontolyticus	0	0.0044619	0	0.0130016	0	0.00605877	0.00435047	0	0	0.0050153
Actinomyces sp.	0	0	0.00335807	0	0	0	0	0	0	0.00334353
Aggregatibacter segnis	0	0	0.00671614	0	0	0	0	0	0	0
Aggregatibacter sp. CCUG 36139	0	0	0.00671614	0	0	0	0	0	0	0
Akkermansia muciniphila	0	0.00892379	0.00335807	0.0173355	0.00523204	9.06695	2.53633	0.00744879	0.144624	0.732233
Alistipes finegoldii	0.00976134	0.0133857	0.0100742	0.104013	0.00523204	0	0.0174019	0.0744879	0.00997407	0.0401224
Alistipes indistinctus	0.0390453	0.218633	0.00671614	0	0	0.0999697	0.0957104	0.0633147	0	0.078573
Alistipes onderdonkii	0.141539	0.1874	0.963766	1.03146	0.0104641	0.157528	1.02236	0.0931099	0.0498703	0.021733
Alistipes putredinis	0.697935	3.66322	3.58978	2.22762	0.00523204	0.384732	0.752632	0.64432	0.50369	0.548339
Alistipes shahii	0.0683293	0.169552	0.0100742	0.21236	0.429027	0.215086	0.343687	0.018622	0.0349092	0.466423
Alistipes timonensis	0.00488067	0.0936998	0.047013	0.0433388	0	0.00605877	0.00435047	0.0484171	0.00997407	0.0534965
Alteromonas macleodii	0	0	0	0.00433388	0	0	0	0	0	0
Anaerocolumna aminovalerica	0	0.00892379	0.0100742	0.00866776	0.0313922	0.00605877	0.00435047	0	0	0.00835883
Anaerofilum pentosovorans	0.0244033	0.0312333	0	0.0130016	0.0261602	0.415026	0.0261028	0.00744879	0.00498703	0
Anaerosporobacter mobilis	0	0	0.00335807	0	0	0.00908815	0	0	0	0
Anaerofustis stercorihominis	0	0	0	0	0.664469	0	0	0	0	0.0100306
Anaerostipes butyraticus	0	0.0178476	0.00335807	0.0303372	0.0156961	0	0	0.0111732	0	0.00167177
Anaerostipes caccae	0	0.00892379	0.00335807	0.0346711	0.0994088	0.00302939	0	0.00744879	0	0.0100306
Anaerotruncus colihominis	0.156181	0.214171	0.161187	0.104013	0.00523204	0.424114	1.16158	0.0521415	0.00997407	0.162161
Bacillus alkalitelluris	0	0	0.00335807	0	0	0	0	0	0	0
Bacillus drentensis	0	0	0.00335807	0	0	0	0	0	0	0
Bacillus firmus	0.00488067	0	0	0	0	0	0	0	0	0
Bacillus flexus	0	0	0	0.0130016	0	0	0	0.00372439	0	0
Bacillus gaemokensis	0.00976134	0.0044619	0.329091	0	0.350547	0.0757346	0.09136	0.0297952	0	0.275841
Bacillus licheniformis	0	0	0	0	0	0.00302939	0	0	0	0
Bacillus luteolus	0	0	0	0	0	0	0.00435047	0	0	0
Bacillus megaterium	0.00488067	0.0044619	0.00671614	0.00433388	0	0.00908815	0.0609066	0.0148976	0	0
Bacillus nealsonii	0.0536873	0.0133857	0.0134323	0.0216694	0.00523204	0	0	0	0	0
Bacillus panaciterrae	0	0	0.00335807	0	0.0156961	0	0.00435047	0	0	0
Bacillus thuringiensis	0	0	0	0.00433388	0	0.00605877	0	0.0148976	0	0
Bacillus shackletonii	0	0	0.00335807	0	0	0	0	0	0	0.00167177
Bacteroides barnesiae	0.00488067	0.00892379	0.00335807	0.0780099	0	0.0181763	0.00870095	0.0111732	0.0299222	0.00334353
Bacteroides caccae	0.385573	1.70444	1.53128	1.73355	0.151729	0.193881	0.0348038	0.00744879	0.0698185	0.0351071
Bacteroides cellulosilyticus	0.014642	0.00892379	0.0268646	0.0303372	0.0104641	0.0696759	0.0435047	0.417132	0.00997407	0.00167177
Bacteroides coprocola	0.107375	0.0133857	0	0.0130016	0	0.00302939	0.00870095	13.7765	0.548574	0.30259
Bacteroides coprophilus	0	0	0.00335807	0	0.0418563	0.00302939	0	0.0707635	0	0.00167177
Bacteroides coprosuis	0	0.00892379	0.0167904	0.00433388	2.32303	0.0181763	0.00435047	0	0	0
Bacteroides dorei	0.043926	0	0.0167904	0.0216694	0.0156961	0.0605877	0.0304533	0.0223464	0.0249352	0.0100306
Bacteroides eggerthii	0.014642	0	0.00671614	0.0216694	5.09601	0.0151469	0.00435047	0.439479	0.0548574	0.00167177
Bacteroides faecichinchillae	0.00488067	0.0044619	0.0100742	0.00433388	0	0	0.00870095	0	0.00498703	0
Bacteroides finegoldii	0.00488067	0	0.0268646	0.00433388	0	0	0.00435047	0.0148976	0	0
Bacteroides fluxus	0.043926	0.240942	0.255213	0.169021	0.0261602	0.0302939	0.0609066	0.130354	0.00997407	0
Bacteroides fragilis	0.00488067	0.0535427	0.0134323	0.372714	0.0104641	4.24417	1.51832	0.00372439	0	0
Bacteroides gallinarum	0	0	0	0	0	0.00302939	0	0	0	0
Bacteroides graminisolvens	0.0390453	0.0223095	0.00671614	0	0	0	0	0	0.0897666	0
Bacteroides helcogenes	0	0	0.0100742	0.00433388	0.0104641	0.00302939	0	0.00372439	0.00498703	0
Bacteroides intestinalis	0.00976134	0.0267714	10.6115	0.0260033	4.74023	0.00908815	0	0.00372439	0.0249352	0.00167177
Bacteroides massiliensis	2.56235	0.0133857	0.00335807	0.0216694	0.00523204	0.00908815	0.0435047	1.32961	1.57092	0.0300918
Bacteroides nordii	0.00976134	0.00892379	0	0.00433388	0.00523204	0.00605877	0.00870095	0.0260708	0	0
Bacteroides oleiciplenus	0	0.0044619	7.89147	0	0.00523204	0.00605877	0.00435047	0	0	0
Bacteroides ovatus	1.70823	2.91808	0.00335807	5.58637	0.0104641	0.951227	10.3237	2.96462	0.254339	0.616881
Bacteroides paurosaccharolyticus	0	0.0267714	0.0100742	0.0303372	0.0104641	0	0	0	0	0
Bacteroides plebeius	0	0.0178476	0	0.0130016	0	0.00908815	0.00870095	0.0223464	0.289248	0
Bacteroides propionicifaciens	0	0	0.00335807	0	0.638309	0	0	0	0.00498703	0
Bacteroides pyogenes	0.0488067	0.151704	0	0	0	0	0	0.00372439	0	0
Bacteroides salanitronis	0.00488067	0	0	0	0	0	0	0.018622	0	0
Bacteroides salyersiae	0	0.0356952	1.14174	0	2.07712	0	0	0.175047	0	0
