#relative abundance information for RUN: undefined, at species level
#project_id: PRJEB6070
#original_sample_description: Human stool sample from host FR-125
#run_id: ERR475482
#experiment_type: Amplicon
#instrument_model: Illumina MiSeq
#nr_reads_sequenced: 111076
#host_age: 72
#sex: Female
#BMI: 37
#country: France
#longitude: null
#latitude: null
#loaded_uid: 30676
#QCStatus: 1
#QCMessage: 
#Original_Project_description: Several bacterial species have been implicated in the development of colorectal carcinoma (CRC), but CRC-associated changes of fecal microbiota and their potential for cancer screening remain to be explored. Here we used metagenomic sequencing of fecal samples to identify taxonomic markers that distinguished CRC patients from tumor-free controls in a study population of 156 participants. Accuracy of metagenomic CRC detection was similar to the standard fecal occult blood test (FOBT) and when both approaches were combined, sensitivity improved >45% relative to the FOBT while maintaining its specificity. Accuracy of metagenomic CRC detection did not differ significantly between early and late-stage cancer and could be validated in independent patient and control populations (N=335) from different countries. CRC-associated changes in the fecal microbiome at least partially reflected microbial community composition at the tumor itself, indicating that observed gene pool differences may reveal tumor-related host-microbe interactions. Indeed, we deduced a metabolic shift from fiber degradation in controls to utilization of host carbohydrates and amino acids in CRC patients accompanied by an increase of lipopolysaccharide metabolism. 
ncbi_taxon_id	relative_abundance	scientific_name
29347	0.0224532	[Clostridium] scindens
238015	0.00396233	Lactobacillus vini
1311	0.0343402	Streptococcus agalactiae
1333	0.00396233	Streptococcus criceti
817	0.00264155	Bacteroides fragilis
121163	0.00132078	Actinomyces suimastitidis
46609	0.00264155	Clostridium pascui
28026	0.00264155	Bifidobacterium pseudocatenulatum
33035	0.523028	Blautia producta
29360	0.00132078	Cellulosilyticum lentocellum
328813	0.00132078	Alistipes onderdonkii
1309	0.126795	Streptococcus mutans
39496	0.327553	Eubacterium ventriosum
1491	0.00132078	Clostridium botulinum
34017	0.00396233	Rhodobium orientis
487175	0.00264155	Parasutterella excrementihominis
562	0.0277363	Escherichia coli
818	0.00660389	Bacteroides thetaiotaomicron
46124	0.00132078	Granulicatella adiacens
114527	0.0858505	Mogibacterium diversum
84112	0.00132078	Eggerthella lenta
293	0.00792466	Brevundimonas diminuta
1282	0.00660389	Staphylococcus epidermidis
47880	0.00264155	Pseudomonas fulva
86332	0.0198117	Mogibacterium pumilum
339862	0.00264155	Desulfosporosinus youngiae
36835	0.125474	[Clostridium] colinum
863	0.00132078	Syntrophomonas wolfei
28025	0.00132078	Bifidobacterium animalis
124798	0.00132078	Microbacterium phyllosphaerae
28135	0.0898128	Prevotella oris
37734	0.0435856	Enterococcus casseliflavus
