#relative abundance information for RUN: undefined, at species level
#project_id: PRJEB11419
#original_sample_description: American Gut Project Stool Sample which has Autoimmune Diseases,Depression,Bipolar Disorder,Schizophrenia,Diabetes Mellitus,Thyroid (USP),Diarrhea
#run_id: ERR1073394
#experiment_type: Amplicon
#instrument_model: Illumina MiSeq
#nr_reads_sequenced: 43579
#host_age: 27
#sex: Female
#BMI: 22.41
#country: United States of America
#longitude: -117.2
#latitude: 32.8
#loaded_uid: 34039
#QCStatus: 1
#QCMessage: 
#Original_Project_description: The American Gut project is the largest crowdsourced citizen science project to date. Fecal, oral, skin, and other body site samples collected from thousands of participants represent the largest human microbiome cohort in existence. Detailed health and lifestyle and diet data associated with each sample is enabling us to deeply examine associations between the human microbiome and factors such as diet (from vegan to near carnivore and everything in between), season, amount of sleep, and disease states such as IBD, diabetes, or autism spectrum disorder-as well as many other factors not listed here. The American Gut project also encompasses the British Gut and Australian Gut projects, widening the cohort beyond North America. As the project continues to grow, we will be able to identify significant associations that would not be possible with smaller, geographically and health/disease status-limited cohorts.
ncbi_taxon_id	relative_abundance	scientific_name
90730	0.00255193	Desulfosarcina cetonica
214856	1.77104	Alistipes finegoldii
239935	0.00510386	Akkermansia muciniphila
29348	0.135252	[Clostridium] spiroforme
28118	0.604808	Odoribacter splanchnicus
28111	0.00255193	Bacteroides eggerthii
28127	0.074006	Prevotella buccalis
78448	0.00510386	Bifidobacterium pullorum
28116	10.9886	Bacteroides ovatus
1680	0.0076558	Bifidobacterium adolescentis
871324	0.0127597	Bacteroides stercorirosoris
29370	0.0510386	[Clostridium] sphenoides
105841	0.0153116	Anaerostipes caccae
166501	0.00510386	Thermobaculum terrenum
329854	0.0791099	Bacteroides intestinalis
114702	0.00255193	Actinomyces lingnae
29524	0.0076558	Porphyromonas circumdentaria
1071880	0.00255193	Sphingobacterium sp. CCBAU 10953
732242	0.00255193	Bacteroides paurosaccharolyticus
312279	0.00255193	Emticicia oligotrophica
1685	0.0178635	Bifidobacterium breve
28446	0.181187	[Clostridium] propionicum
39492	0.0280713	[Eubacterium] siraeum
1522	0.00510386	[Clostridium] innocuum
626931	0.0995253	Bacteroides oleiciplenus
287	0.00255193	Pseudomonas aeruginosa
187327	1.1203	Acidaminococcus intestini
29354	0.0076558	[Clostridium] celerecrescens
871327	0.00255193	Parabacteroides chinchillae
1168034	0.00255193	Draconibacterium orientale
1506	0.00510386	Clostridium sp.
1303	0.00255193	Streptococcus oralis
28123	0.00510386	Porphyromonas asaccharolytica
1755607	0.112285	Bacteroides sp. MC_16
78342	0.0433828	Bifidobacterium gallicum
574375	0.0102077	Bacillus gaemokensis
166486	0.31644	Roseburia intestinalis
69824	0.00255193	[Clostridium] cocleatum
1465754	0.035727	Alistipes timonensis
84026	0.0255193	[Clostridium] methylpentosum
-1	3.71561	Unknown
39488	0.0127597	[Eubacterium] hallii
84032	0.00510386	[Clostridium] thermosuccinogenes
1265	0.00510386	Ruminococcus flavefaciens
46506	0.0204155	Bacteroides stercoris
1308	0.00510386	Streptococcus thermophilus
37919	0.00255193	Rhodococcus opacus
410072	0.0893176	Coprococcus comes
204516	0.038279	Bacteroides massiliensis
208479	0.0510386	[Clostridium] bolteae
28108	0.00255193	Alteromonas macleodii
261299	0.0510386	Intestinibacter bartlettii
