#relative abundance information for RUN: undefined, at species level
#project_id: PRJEB11419
#original_sample_description: American Gut Project Stool Sample which has healthy
#run_id: ERR1090562
#experiment_type: Amplicon
#instrument_model: Illumina MiSeq
#nr_reads_sequenced: 29803
#host_age: 19
#sex: Male
#BMI: 21.14
#country: United States of America
#longitude: -71.1
#latitude: 42.3
#loaded_uid: 36346
#QCStatus: 1
#QCMessage: 
#Original_Project_description: The American Gut project is the largest crowdsourced citizen science project to date. Fecal, oral, skin, and other body site samples collected from thousands of participants represent the largest human microbiome cohort in existence. Detailed health and lifestyle and diet data associated with each sample is enabling us to deeply examine associations between the human microbiome and factors such as diet (from vegan to near carnivore and everything in between), season, amount of sleep, and disease states such as IBD, diabetes, or autism spectrum disorder-as well as many other factors not listed here. The American Gut project also encompasses the British Gut and Australian Gut projects, widening the cohort beyond North America. As the project continues to grow, we will be able to identify significant associations that would not be possible with smaller, geographically and health/disease status-limited cohorts.
ncbi_taxon_id	relative_abundance	scientific_name
1535	2.79391	[Clostridium] leptum
28446	0.575525	[Clostridium] propionicum
1264	0.00523204	Ruminococcus albus
821	0.763878	Bacteroides vulgatus
1265	0.0209282	Ruminococcus flavefaciens
28118	0.00523204	Odoribacter splanchnicus
33033	0.0575524	Parvimonas micra
983706	0.0104641	Bifidobacterium reuteri
1282	0.00523204	Staphylococcus epidermidis
89152	0.00523204	[Clostridium] hiranonis
47678	0.120337	Bacteroides caccae
45851	0.00523204	Butyrivibrio crossotus
1882754	0.00523204	Unknown
146817	0.0366243	Dendrosporobacter quercicolus
28111	0.0104641	Bacteroides eggerthii
53443	0.0209282	Blautia hydrogenotrophica
28117	1.77366	Alistipes putredinis
1531	0.00523204	[Clostridium] clostridioforme
1515	0.0575524	Ruminiclostridium thermocellum
1755607	0.0104641	Bacteroides sp. MC_16
1114008	0.00523204	Lactobacillus sp. NBRC 107185
143393	0.00523204	[Eubacterium] sulci
552810	0.0104641	Dehalogenimonas lykanthroporepellens
42256	0.0104641	Rubrobacter radiotolerans
29348	0.0523204	[Clostridium] spiroforme
1598	0.00523204	Lactobacillus reuteri
732242	0.00523204	Bacteroides paurosaccharolyticus
52787	0.429027	Anaerofilum pentosovorans
28128	0.0104641	Prevotella corporis
1379	0.0156961	Gemella haemolysans
820	2.26024	Bacteroides uniformis
90730	0.00523204	Desulfosarcina cetonica
1522	0.449956	[Clostridium] innocuum
671267	0.0104641	Bacteroides sartorii
1547	0.23021	Erysipelatoclostridium ramosum
1004156	0.00523204	Candidatus Brocadia caroliniensis
46506	0.638309	Bacteroides stercoris
410072	0.115105	Coprococcus comes
1750	0.00523204	Propionibacterium propionicum
51664	0.00523204	Lactobacillus dextrinicus
328812	0.130801	Parabacteroides goldsteinii
84026	0.00523204	[Clostridium] methylpentosum
29354	0.0104641	[Clostridium] celerecrescens
29370	0.125569	[Clostridium] sphenoides
106588	0.00523204	Pseudoflavonifractor capillosus
28037	0.0994088	Streptococcus mitis
762212	0.00523204	Bifidobacterium biavatii
97253	0.0209282	Eubacterium plexicaudatum
471189	0.0104641	Gordonibacter pamelaeae
28901	0.0209282	Salmonella enterica
