"#relative abundance information for RUN: undefined, at species level"		
#project_id: PRJEB11419		
#original_sample_description: American Gut Project Stool Sample which has healthy		
#run_id: ERR1160491		
#experiment_type: Amplicon		
#instrument_model: Illumina HiSeq 2000		
#nr_reads_sequenced: 51546		
#host_age: 19		
#sex: Female		
#BMI: 20.31		
#country: United Kingdom		
#longitude: -0.2		
#latitude: 51.5		
#loaded_uid: 36410		
#QCStatus: 1		
#QCMessage: 		
"#Original_Project_description: The American Gut project is the largest crowdsourced citizen science project to date. Fecal, oral, skin, and other body site samples collected from thousands of participants represent the largest human microbiome cohort in existence. Detailed health and lifestyle and diet data associated with each sample is enabling us to deeply examine associations between the human microbiome and factors such as diet (from vegan to near carnivore and everything in between), season, amount of sleep, and disease states such as IBD, diabetes, or autism spectrum disorder-as well as many other factors not listed here. The American Gut project also encompasses the British Gut and Australian Gut projects, widening the cohort beyond North America. As the project continues to grow, we will be able to identify significant associations that would not be possible with smaller, geographically and health/disease status-limited cohorts."		
ncbi_taxon_id	relative_abundance	scientific_name
574375	0.0297952	Bacillus gaemokensis
78343	0.018622	Bifidobacterium boum
29466	0.00372439	Veillonella parvula
78342	0.100559	Bifidobacterium gallicum
246787	0.417132	Bacteroides cellulosilyticus
39491	0.00744879	[Eubacterium] rectale
28026	0.00372439	Bifidobacterium pseudocatenulatum
105841	0.00744879	Anaerostipes caccae
338188	0.0148976	Bacteroides finegoldii
39492	0.33892	[Eubacterium] siraeum
1507	0.00372439	Clostridium sp. ATCC 29733
43675	0.00372439	Rothia mucilaginosa
920	0.00372439	Acidithiobacillus ferrooxidans
1755626	13.0652	Faecalibacterium sp. MC_41
29375	0.86406	[Clostridium] xylanolyticum
100176	0.00372439	Papillibacter cinnamivorans
645466	0.0111732	Anaerostipes butyraticus
28025	0.0223464	Bifidobacterium animalis
1680	0.752328	Bifidobacterium adolescentis
165179	0.0297952	Prevotella copri
290055	0.00372439	[Eubacterium] fissicatena
818	0.201117	Bacteroides thetaiotaomicron
33043	3.13222	Coprococcus eutactus
947013	0.00372439	Chryseolinea serpens
261299	0.49162	Intestinibacter bartlettii
1307	0.00372439	Streptococcus suis
40518	0.0558659	Ruminococcus bromii
823	0.197393	Parabacteroides distasonis
