#relative abundance information for RUN: undefined, at species level
#project_id: PRJNA414683
#original_sample_description: MIMARKS Survey related sample from human gut metagenome
#run_id: SRR6185222
#experiment_type: Amplicon
#instrument_model: Illumina MiSeq
#nr_reads_sequenced: null
#host_age: 19
#sex: Female
#BMI: 18.5
#country: New Zealand
#longitude: -175.61
#latitude: -40.35
#loaded_uid: 42034
#QCStatus: 1
#QCMessage: 
#Original_Project_description: Presently, it is difficult to predict how the gut microbiota will respond to a particular dietary intervention. Therefore, the aim of this study was to determine what influence differing habitual dietary fibre intakes had on how the gut microbiota responded to an inulin-type fructan prebiotic
ncbi_taxon_id	relative_abundance	scientific_name
214853	0.0100306	Anaerofustis stercorihominis
84031	0.220673	Clostridium sartagoforme
1559	1.30063	Clostridium tertium
47246	0.00167177	[Clostridium] viride
208226	0.00167177	Alkaliphilus metalliredigens
78346	0.0969624	Bifidobacterium ruminantium
43305	0.00167177	Butyrivibrio proteoclasticus
42471	0.00167177	Desulfotomaculum thermocisternum
28116	0.616881	Bacteroides ovatus
36854	0.0133741	Desulfitobacterium dehalogenans
301301	0.125382	Roseburia hominis
437898	0.0267482	Sutterella parvirubra
1465754	0.0534965	Alistipes timonensis
1265	0.996372	Ruminococcus flavefaciens
88431	1.15519	Dorea longicatena
158787	0.168848	Bifidobacterium scardovii
187327	0.324323	Acidaminococcus intestini
31959	0.00167177	Amycolatopsis lurida
39482	0.00835883	[Eubacterium] contortum
1406	0.00668706	Paenibacillus polymyxa
89153	1.53134	[Clostridium] hylemonae
39488	1.18361	[Eubacterium] hallii
1533	0.00334353	Clostridium fallax
762209	0.0150459	Bifidobacterium callitrichos
29375	0.0133741	[Clostridium] xylanolyticum
45851	0.00167177	Butyrivibrio crossotus
1358	0.00167177	Lactococcus lactis
84026	0.658676	[Clostridium] methylpentosum
329854	0.00167177	Bacteroides intestinalis
28126	0.0300918	Prevotella buccae
78259	0.00167177	Scardovia inopinata
1497	0.00167177	Clostridium formicaceticum
386414	0.00334353	Prevotella timonensis
46228	0.00668706	Ruminococcus lactaris
133453	0.00167177	Caldilinea aerophila
288965	1.80384	[Clostridium] clariflavum
518643	0.00334353	Bifidobacterium mongoliense
1304	0.00668706	Streptococcus salivarius
47678	0.0351071	Bacteroides caccae
75292	0.00167177	Streptomyces thermogriseus
431269	0.00334353	Mycobacterium setense
28051	0.00167177	Lachnospira multipara
46204	0.00167177	Actinocorallia aurantiaca
1506	0.00167177	Clostridium sp.
454155	0.00334353	Paraprevotella xylaniphila
105841	0.0100306	Anaerostipes caccae
40518	8.35047	Ruminococcus bromii
168384	0.00334353	Marvinbryantia formatexigens
1746683	0.00167177	Leucobacter sp. HBUM179329
28446	0.0250765	[Clostridium] propionicum
1077256	0.0969624	Methanosphaera cuniculi
839	0.0100306	Prevotella ruminicola
28118	0.0869318	Odoribacter splanchnicus
84030	0.208971	[Clostridium] saccharolyticum
1755610	0.00167177	Alistipes sp. MC_19
387090	0.00167177	Bacteroides coprophilus
261299	2.21676	Intestinibacter bartlettii
169435	0.162161	Anaerotruncus colihominis
216947	0.00167177	Spiroplasma velocicrescens
36834	0.00334353	Clostridium celatum
29552	0.0250765	Acholeplasma axanthum
1512	0.130398	[Clostridium] symbiosum
43675	0.00167177	Rothia mucilaginosa
33032	0.00167177	Anaerococcus lactolyticus
455342	0.00167177	Actinocorallia spatholoba
143393	0.0050153	[Eubacterium] sulci
62322	0.00167177	Shewanella baltica
638619	0.021733	Bifidobacterium actinocoloniiforme
2741	0.00668706	Peptococcus niger
376804	0.00334353	Bacteroides barnesiae
40519	0.0250765	Ruminococcus callidus
1718	0.00334353	Corynebacterium glutamicum
39489	0.00167177	Clostridium moniliforme
31958	0.00334353	Amycolatopsis orientalis
1535	0.379491	[Clostridium] leptum
94869	0.00334353	Clostridium gasigenes
78331	0.0050153	Mycobacterium canettii
309120	0.570072	Dialister micraerophilus
214856	0.0401224	Alistipes finegoldii
1267	0.0351071	Clostridium ventriculi
1124188	0.00167177	Flavobacterium fontis
1882754	0.00167177	Unknown
356829	0.00167177	Bifidobacterium tsurumiense
28135	0.00167177	Prevotella oris
208443	0.00167177	Amycolatopsis balhimycina
762212	0.0685424	Bifidobacterium biavatii
97253	0.00334353	Eubacterium plexicaudatum
658062	0.00167177	Candidatus Koribacter versatilis
1121298	0.0050153	Clostridium amylolyticum
270498	0.00668706	Catabacter hongkongensis
84110	0.00835883	Slackia heliotrinireducens
185300	0.00167177	Paludibacter propionicigenes
47770	0.00167177	Lactobacillus crispatus
29360	0.00334353	Cellulosilyticum lentocellum
729	0.02842	Haemophilus parainfluenzae
29363	0.548339	Clostridium paraputrificum
