#relative abundance information for RUN: undefined, at species level
#project_id: PRJNA50637
#original_sample_description: Human metagenome DNA sample from Pouch of a male participant in the dbGaP study The Role of the Gut Microbiota in Ulcerative Colitis
#run_id: SRR059127
#experiment_type: Metagenomics
#instrument_model: 454 GS FLX
#nr_reads_sequenced: 642651
#host_age: null
#sex: Male
#BMI: null
#country: null
#longitude: null
#latitude: null
#loaded_uid: 52652
#QCStatus: 1
#QCMessage: 
#Original_Project_description: The bacteria that live in the gut are felt to play a key role in the health of the gastrointestinal tract. We will determine the role of the gut bacteria in the development of human inflammatory bowel disease through the use of state-of-the-art molecular biology techniques and advanced culture techniques
ncbi_taxon_id	relative_abundance	scientific_name
28116	35.6677	Bacteroides ovatus
46506	22.8967	Bacteroides stercoris
562	12.3546	Escherichia coli
818	11.6531	Bacteroides thetaiotaomicron
1492	1.33495	Clostridium butyricum
154046	1.0424	Hungatella hathewayi
33038	0.87805	[Ruminococcus] gnavus
358743	0.70791	[Clostridium] citroniae
154288	0.4019	Turicibacter sanguinis
29361	0.30655	Tyzzerella nexilis
-1	12.7562	Unknown
