#relative abundance information for RUN: undefined, at species level
#project_id: PRJNA50637
#original_sample_description: Pouchitis tumor DNA sample from Pouch of a human male participant in the dbGaP study The Role of the Gut Microbiota in Ulcerative Colitis
#run_id: SRR5548112
#experiment_type: Amplicon
#instrument_model: Illumina MiSeq
#nr_reads_sequenced: null
#host_age: null
#sex: Male
#BMI: null
#country: null
#longitude: null
#latitude: null
#loaded_uid: 50872
#QCStatus: 1
#QCMessage: 
#Original_Project_description: The bacteria that live in the gut are felt to play a key role in the health of the gastrointestinal tract. We will determine the role of the gut bacteria in the development of human inflammatory bowel disease through the use of state-of-the-art molecular biology techniques and advanced culture techniques
ncbi_taxon_id	relative_abundance	scientific_name
337315	0.000946298	Candidatus Peptoniphilus massiliensis
29360	0.0170334	Cellulosilyticum lentocellum
204516	0.270641	Bacteroides massiliensis
1671366	0.0018926	Ruminococcus sp. DSM 100440
850	0.00662408	Fusobacterium mortiferum
28129	0.000946298	Prevotella denticola
1547	0.0813816	Erysipelatoclostridium ramosum
180164	0.0104093	Blautia schinkii
282125	0.000946298	Sutterella sanguinus
1352	0.00378519	Enterococcus faecium
1541	0.21481	Terrisporobacter mayombei
1113821	0.000946298	Microbulbifer sp. NBRC 101764
37734	0.000946298	Enterococcus casseliflavus
1561	0.0123019	Clostridium baratii
1490	0.0018926	Paraclostridium bifermentans
301302	0.00378519	Roseburia faecis
871324	0.00283889	Bacteroides stercorirosoris
36835	0.0104093	[Clostridium] colinum
714	0.00473149	Aggregatibacter actinomycetemcomitans
82801	0.000946298	Desemzia incerta
357276	0.0340667	Bacteroides dorei
328814	0.0274426	Alistipes shahii
179628	0.0018926	Clostridium colicanis
1343	0.00473149	Streptococcus vestibularis
89014	0.459901	Blautia luti
1550	0.00662408	Clostridium subterminale
1297750	0.611308	Bacteroides luti
291644	0.000946298	Bacteroides salyersiae
246787	0.00662408	Bacteroides cellulosilyticus
143393	0.0018926	[Eubacterium] sulci
1303	0.0123019	Streptococcus oralis
536633	0.427727	Blautia glucerasea
39778	0.0170334	Veillonella dispar
97253	0.0160871	Eubacterium plexicaudatum
58134	0.0018926	[Desulfotomaculum] guttoideum
39486	0.0018926	Dorea formicigenerans
1535	1.48096	[Clostridium] leptum
853	2.07145	Faecalibacterium prausnitzii
1335	0.00567779	Streptococcus equinus
861	0.00378519	Fusobacterium ulcerans
234908	0.0160871	Sutterella stercoricanis
69825	0.0018926	[Clostridium] indolis
823	0.000946298	Parabacteroides distasonis
1737	0.409747	[Eubacterium] tenue
61635	0.00283889	Acholeplasma brassicae
860	0.000946298	Fusobacterium periodonticum
197345	0.000946298	Psychroflexus tropicus
729	1.02389	Haemophilus parainfluenzae
204038	0.0170334	Dickeya dadantii
28119	0.00378519	Bacteroides zoogleoformans
29466	0.0141945	Veillonella parvula
