#relative abundance information for RUN: undefined, at species level
#project_id: PRJEB11419
#original_sample_description: American Gut Project Stool Sample which has healthy
#run_id: ERR1250107
#experiment_type: Amplicon
#instrument_model: Illumina MiSeq
#nr_reads_sequenced: 28731
#host_age: 18
#sex: Female
#BMI: 20.73
#country: United States of America
#longitude: -71.1
#latitude: 42.3
#loaded_uid: 36599
#QCStatus: 1
#QCMessage: 
#Original_Project_description: The American Gut project is the largest crowdsourced citizen science project to date. Fecal, oral, skin, and other body site samples collected from thousands of participants represent the largest human microbiome cohort in existence. Detailed health and lifestyle and diet data associated with each sample is enabling us to deeply examine associations between the human microbiome and factors such as diet (from vegan to near carnivore and everything in between), season, amount of sleep, and disease states such as IBD, diabetes, or autism spectrum disorder-as well as many other factors not listed here. The American Gut project also encompasses the British Gut and Australian Gut projects, widening the cohort beyond North America. As the project continues to grow, we will be able to identify significant associations that would not be possible with smaller, geographically and health/disease status-limited cohorts.
ncbi_taxon_id	relative_abundance	scientific_name
1685	0.392647	Bifidobacterium breve
204516	0.0133857	Bacteroides massiliensis
762210	0.0624665	Bifidobacterium saguini
33038	0.0178476	[Ruminococcus] gnavus
301301	0.638051	Roseburia hominis
1304	0.0178476	Streptococcus salivarius
61171	0.0312333	Holdemania filiformis
309120	0.874532	Dialister micraerophilus
28116	2.91808	Bacteroides ovatus
40520	1.45904	Blautia obeum
28127	0.0044619	Prevotella buccalis
214856	0.0133857	Alistipes finegoldii
282402	0.0267714	Prevotella multiformis
36835	0.16509	[Clostridium] colinum
467210	0.00892379	Lachnoanaerobaculum saburreum
35760	0.0356952	Bifidobacterium choerinum
28137	0.0401571	Prevotella veroralis
1527	0.00892379	Anaerocolumna aminovalerica
158787	0.00892379	Bifidobacterium scardovii
626931	0.0044619	Bacteroides oleiciplenus
1303	0.0178476	Streptococcus oralis
39488	0.0178476	[Eubacterium] hallii
502558	0.0223095	Eggerthella sp. YY7918
52226	0.107085	Mitsuokella multacida
46503	0.455113	Parabacteroides merdae
971	0.0133857	Selenomonas ruminantium
33953	0.0044619	Clostridium aminobutyricum
310298	0.0133857	Bacteroides coprocola
228603	0.111547	Prevotella shahii
100884	0.0044619	Coprobacillus cateniformis
28135	0.124933	Prevotella oris
487175	0.0624665	Parasutterella excrementihominis
291645	0.00892379	Bacteroides nordii
310300	0.151704	Bacteroides pyogenes
44742	0.00892379	Desulfovibrio fairfieldensis
33039	0.0044619	[Ruminococcus] torques
626932	0.218633	Alistipes indistinctus
28125	0.0133857	Prevotella bivia
216816	0.530966	Bifidobacterium longum
