#relative abundance information for RUN: undefined, at species level
#project_id: PRJNA414683
#original_sample_description: MIMARKS Survey related sample from human gut metagenome
#run_id: SRR6185275
#experiment_type: Amplicon
#instrument_model: Illumina MiSeq
#nr_reads_sequenced: null
#host_age: 19
#sex: Female
#BMI: 18.5
#country: New Zealand
#longitude: -175.61
#latitude: -40.35
#loaded_uid: 42086
#QCStatus: 1
#QCMessage: 
#Original_Project_description: Presently, it is difficult to predict how the gut microbiota will respond to a particular dietary intervention. Therefore, the aim of this study was to determine what influence differing habitual dietary fibre intakes had on how the gut microbiota responded to an inulin-type fructan prebiotic
ncbi_taxon_id	relative_abundance	scientific_name
498718	0.0130489	Slackia equolifaciens
29363	0.854701	Clostridium paraputrificum
729	0.0521955	Haemophilus parainfluenzae
47770	0.00652443	Lactobacillus crispatus
1755626	9.42455	Faecalibacterium sp. MC_41
328814	0.861225	Alistipes shahii
1660	0.00978665	Actinomyces odontolyticus
48256	0.00326222	[Clostridium] hungatei
1680	3.28179	Bifidobacterium adolescentis
1264	0.195733	Ruminococcus albus
228603	0.00978665	Prevotella shahii
35519	0.00326222	Mogibacterium timidum
28901	0.00326222	Salmonella enterica
1303	0.0260977	Streptococcus oralis
349931	0.00326222	Clostridium cavendishii
46867	0.00326222	Clostridium chauvoei
1328	0.00652443	Streptococcus anginosus
1267	0.0326222	Clostridium ventriculi
214856	0.110915	Alistipes finegoldii
309120	0.358844	Dialister micraerophilus
94869	0.0228355	Clostridium gasigenes
78331	0.00326222	Mycobacterium canettii
1535	0.528479	[Clostridium] leptum
31958	0.00326222	Amycolatopsis orientalis
114702	0.00326222	Actinomyces lingnae
28135	0.00326222	Prevotella oris
270498	0.00326222	Catabacter hongkongensis
1121298	0.00978665	Clostridium amylolyticum
762212	0.0130489	Bifidobacterium biavatii
185300	0.00326222	Paludibacter propionicigenes
76489	0.00326222	Clostridium acetireducens
1349	0.00326222	Streptococcus uberis
133926	0.189209	Olsenella uli
180164	0.0521955	Blautia schinkii
255723	0.0326222	Slackia faecicanis
1522	0.00326222	[Clostridium] innocuum
574375	0.150062	Bacillus gaemokensis
291645	0.00652443	Bacteroides nordii
351091	2.78267	Oscillibacter valericigenes
28037	0.0326222	Streptococcus mitis
33942	0.00326222	Brevibacillus thermoruber
1689	0.00652443	Bifidobacterium dentium
701529	0.0228355	Peptoniphilus sp. JCM 8143
28025	0.0391466	Bifidobacterium animalis
246787	0.00652443	Bacteroides cellulosilyticus
477666	0.00978665	Bacteroides graminisolvens
1623	0.00326222	Lactobacillus ruminis
35517	0.0195733	[Eubacterium] brachy
1311	0.00326222	Streptococcus agalactiae
